"Well","Group","Chem","Dose","Treatment","Fluorescence","Flum","Rlum","Background.Fluor","Background.Flum","Background.Rlum","CorrFluor","CorrFlum","CorrRlum","ExperimentalR","PositiveR","NegativeR","RRR","Flum.Live","FLumLive.R","Flum.R","Ratio.NoTF","FlumL.NoTF","Assay"
"C5","Test","GW1929",1,"1 uM 1929",35942,9815,3675,90,645.4,690.2,35852,9169.6,2984.8,0.255762579,0.463272796,0.004699895,0.547486962,0.273078849,0.327379135,2.670748299,2.703488946,16.60742558,"16"
"C4","Test","GW1929",5,"5 uM 1929",27416,8884,3537,90,645.4,690.2,27326,8238.6,2846.8,0.301493084,0.463272796,0.004699895,0.647210482,0.324044354,0.388478862,2.511733107,2.54252439,19.70691799,"16"
"D4","Test","GW1929",5,"5 uM 1929",28328,12280,2119,90,645.4,690.2,28238,11634.6,1428.8,0.412019265,0.463272796,0.004699895,0.888232534,0.433493363,0.519691228,5.795186409,5.866229477,26.36311377,"16"
"B4","Test","GW1929",5,"5 uM 1929",25255,12918,2207,90,645.4,690.2,25165,12272.6,1516.8,0.487685277,0.463272796,0.004699895,1.053235769,0.511502673,0.613212277,5.853194382,5.924948568,31.10728858,"16"
"D2","Test","UnTx",0,"UnTX",57229,294,520,90,645.4,690.2,57139,-351.4,-170.2,-0.006149915,0.463272796,0.004699895,-0.023659946,0.005137256,0.006158772,0.565384615,0.572315653,0.312424745,"16"
"C11","Test","UnTx",0,"UnTX",47133,469,4186,90,645.4,690.2,47043,-176.4,3495.8,-0.003749761,0.463272796,0.004699895,-0.018425981,0.009950565,0.011929182,0.112040134,0.113413631,0.605148568,"16"
"B11","Test","UnTx",0,"UnTX",48269,707,3822,90,645.4,690.2,48179,61.6,3131.8,0.001278565,0.463272796,0.004699895,-0.007460819,0.014647082,0.017559577,0.184981685,0.187249372,0.890769551,"16"
"C2","Test","UnTx",0,"UnTX",30607,580,596,90,645.4,690.2,30517,-65.4,-94.2,-0.002143068,0.463272796,0.004699895,-0.0149223,0.018949913,0.022718003,0.973154362,0.985084241,1.152448378,"16"
"B2","Test","UnTx",0,"UnTX",33241,651,811,90,645.4,690.2,33151,5.6,120.8,0.000168924,0.463272796,0.004699895,-0.00988059,0.019584248,0.023478472,0.8027127,0.812553138,1.191025772,"16"
"D11","Test","UnTx",0,"UnTX",54546,2758,5778,90,645.4,690.2,54456,2112.6,5087.8,0.038794623,0.463272796,0.004699895,0.074349636,0.050562828,0.060616979,0.477327795,0.483179346,3.07500343,"16"
"54","Test","Rosi",1e-04,"0.1 nM Rosi",14000,701,1871,377.6666667,778.6666667,878.1666667,13622.33333,-77.66666667,992.8333333,-0.005701422,0.180833419,0.011744853,-0.103178323,0.050071429,0.17768624,0.374665954,2.998498146,2.66e-05,"18"
"52","Test","Rosi",1e-04,"0.1 nM Rosi",12222,664,1290,377.6666667,778.6666667,878.1666667,11844.33333,-114.6666667,411.8333333,-0.009681141,0.180833419,0.011744853,-0.126714626,0.054328261,0.192792269,0.514728682,4.119437549,2.89e-05,"18"
"53","Test","Rosi",1e-04,"0.1 nM Rosi",12726,885,1172,377.6666667,778.6666667,878.1666667,12348.33333,106.3333333,293.8333333,0.008611149,0.180833419,0.011744853,-0.018532917,0.069542669,0.246782958,0.755119454,6.04331474,3.7e-05,"18"
"46","Test","Rosi",0.001,"1 nM Rosi",13059,316,1414,377.6666667,778.6666667,878.1666667,12681.33333,-462.6666667,535.8333333,-0.036484071,0.180833419,0.011744853,-0.285228772,0.024197871,0.085869902,0.223479491,1.788534111,1.29e-05,"18"
"47","Test","Rosi",0.001,"1 nM Rosi",13333,725,911,377.6666667,778.6666667,878.1666667,12955.33333,-53.66666667,32.83333333,-0.004142438,0.180833419,0.011744853,-0.0939584,0.054376359,0.192962952,0.79582876,6.369116368,2.89e-05,"18"
"48","Test","Rosi",0.001,"1 nM Rosi",15871,2879,2300,377.6666667,778.6666667,878.1666667,15493.33333,2100.333333,1421.833333,0.135563683,0.180833419,0.011744853,0.732272049,0.181400038,0.643726198,1.25173913,10.01782367,9.64e-05,"18"
"41","Test","Rosi",0.01,"10 nM Rosi",17641,1089,1707,377.6666667,778.6666667,878.1666667,17263.33333,310.3333333,828.8333333,0.017976443,0.180833419,0.011744853,0.036854003,0.061731194,0.219062726,0.637961336,5.105683774,3.28e-05,"18"
"42","Test","Rosi",0.01,"10 nM Rosi",17291,1168,1028,377.6666667,778.6666667,878.1666667,16913.33333,389.3333333,149.8333333,0.023019314,0.180833419,0.011744853,0.066677845,0.067549592,0.239710215,1.13618677,9.093043785,3.59e-05,"18"
"40","Test","Rosi",0.01,"10 nM Rosi",16700,1390,1560,377.6666667,778.6666667,878.1666667,16322.33333,611.3333333,681.8333333,0.037453795,0.180833419,0.011744853,0.15204424,0.083233533,0.295367114,0.891025641,7.130988829,4.42e-05,"18"
"35","Test","Rosi",0.1,"100 nM Rosi",24273,980,911,377.6666667,778.6666667,878.1666667,23895.33333,201.3333333,32.83333333,0.008425634,0.180833419,0.011744853,-0.019630061,0.040374078,0.143273684,1.075740944,8.609288332,2.15e-05,"18"
"34","Test","Rosi",0.1,"100 nM Rosi",21960,1471,1414,377.6666667,778.6666667,878.1666667,21582.33333,692.3333333,535.8333333,0.032078706,0.180833419,0.011744853,0.120255639,0.066985428,0.237708191,1.040311174,8.325739483,3.56e-05,"18"
"36","Test","Rosi",0.1,"100 nM Rosi",25048,3614,2300,377.6666667,778.6666667,878.1666667,24670.33333,2835.333333,1421.833333,0.114928862,0.180833419,0.011744853,0.610236467,0.144282977,0.512010544,1.571304348,12.57534378,7.67e-05,"18"
"28","Test","Rosi",1,"1 uM Rosi",26622,1559,1834,377.6666667,778.6666667,878.1666667,26244.33333,780.3333333,955.8333333,0.029733403,0.180833419,0.011744853,0.106385371,0.058560589,0.207811342,0.850054526,6.803091906,3.11e-05,"18"
"30","Test","Rosi",1,"1 uM Rosi",26206,1537,1091,377.6666667,778.6666667,878.1666667,25828.33333,758.3333333,212.8333333,0.029360521,0.180833419,0.011744853,0.104180128,0.058650691,0.208131083,1.408799267,11.27479544,3.12e-05,"18"
"29","Test","Rosi",1,"1 uM Rosi",25970,3824,961,377.6666667,778.6666667,878.1666667,25592.33333,3045.333333,82.83333333,0.11899397,0.180833419,0.011744853,0.63427776,0.147246823,0.522528212,3.979188345,31.84593836,7.83e-05,"18"
"24","Test","Rosi",10,"10 uM Rosi",21533,2134,1952,377.6666667,778.6666667,878.1666667,21155.33333,1355.333333,1073.833333,0.064065799,0.180833419,0.011744853,0.309429238,0.099103701,0.351684869,1.093237705,8.749317081,5.27e-05,"18"
"22","Test","Rosi",10,"10 uM Rosi",20927,3778,3295,377.6666667,778.6666667,878.1666667,20549.33333,2999.333333,2416.833333,0.145957695,0.180833419,0.011744853,0.793742864,0.180532327,0.640646991,1.146585736,9.176267997,9.59e-05,"18"
"23","Test","Rosi",10,"10 uM Rosi",20479,4090,3825,377.6666667,778.6666667,878.1666667,20101.33333,3311.333333,2946.833333,0.164732024,0.180833419,0.011744853,0.904775381,0.199716783,0.708726011,1.069281046,8.557588964,0.000106143,"18"
"18","Test","Rosi",100,"100 uM Rosi",14385,2134,1952,377.6666667,778.6666667,878.1666667,14007.33333,1355.333333,1073.833333,0.096758841,0.180833419,0.011744853,0.502777863,0.148348975,0.52643937,1.093237705,8.749317081,7.88e-05,"18"
"16","Test","Rosi",100,"100 uM Rosi",14559,3778,3295,377.6666667,778.6666667,878.1666667,14181.33333,2999.333333,2416.833333,0.211498684,0.180833419,0.011744853,1.181356232,0.259495844,0.92086129,1.146585736,9.176267997,0.000137914,"18"
"17","Test","Rosi",100,"100 uM Rosi",14514,4090,3825,377.6666667,778.6666667,878.1666667,14136.33333,3311.333333,2946.833333,0.234242731,0.180833419,0.011744853,1.315865905,0.281796886,1,1.069281046,8.557588964,0.000149766,"18"
"58","Test","UnTx",0,"UnTX",22290,562,1427,377.6666667,778.6666667,878.1666667,21912.33333,-216.6666667,548.8333333,-0.009887887,0.180833419,0.011744853,-0.127937329,0.0252131,0.0894726,0.393833217,3.151896128,1.34e-05,"18"
"116","Test","UnTx",0,"UnTX",28053,763,1616,377.6666667,778.6666667,878.1666667,27675.33333,-15.66666667,737.8333333,-0.000566088,0.180833419,0.011744853,-0.072807647,0.027198517,0.09651816,0.472153465,3.778702802,1.45e-05,"18"
"115","Test","UnTx",0,"UnTX",18034,554,1190,377.6666667,778.6666667,878.1666667,17656.33333,-224.6666667,311.8333333,-0.012724424,0.180833419,0.011744853,-0.144712781,0.030719752,0.109013809,0.465546218,3.725824186,1.63e-05,"18"
"60","Test","UnTx",0,"UnTX",25938,801,1877,377.6666667,778.6666667,878.1666667,25560.33333,22.33333333,998.8333333,0.00087375,0.180833419,0.011744853,-0.064292362,0.030881332,0.109587201,0.426744806,3.41529166,1.64e-05,"18"
"118","Test","UnTx",0,"UnTX",28311,920,1471,377.6666667,778.6666667,878.1666667,27933.33333,141.3333333,592.8333333,0.005059666,0.180833419,0.011744853,-0.0395366,0.032496203,0.115317822,0.625424881,5.005352971,1.73e-05,"18"
"117","Test","UnTx",0,"UnTX",30434,1005,1519,377.6666667,778.6666667,878.1666667,30056.33333,226.3333333,640.8333333,0.007530304,0.180833419,0.011744853,-0.024925096,0.033022278,0.11718468,0.661619487,5.295022893,1.76e-05,"18"
